Product Name,Product URL,Company Name,City/State,Full Address,GST Number
Grey Aluminum Extrusion - Color: Silver,https://www.starrail.co.in,N/A,N/A,N/A,24AHUPT5745Q2Z4
"Aluminum Extrusion Sections - Premium Quality Alloy, Square Shape , Polished Surface Finish With Custom Color Options And Warranty",https://www.tradeindia.com/products/aluminum-extrusion-sections-c9126698.html,Rsd Global,"Maharashtra, 400057","B No D-4 1st, Sahakar Road, Nr, Noble Chemist , Nr Garware Chowk, Vile Parle East, Mumbai, Maharashtra, 400057, India",27AIBPD1296Q1ZX
"Aluminum Extrusion Billet - Round Alloy Silver | Polished Surface Treatment, Industrial Grade",https://www.tradeindia.com/products/aluminum-extrusion-billet-c9114694.html,Overseas Aluminium Alloys Llp,"Maharashtra, 400004","B/1, Gr. Floor, Mahavir Darshan, Sai Dham Complex, 26 Khambata Lane, 8th Khetwadi Back Road, Mumbai, Maharashtra, 400004, India",27AAHFO9913B1Z9
Gray Aluminum Extrusions,https://www.tradeindia.com/products/aluminum-extrusions-c8665486.html,Rakesh Metal & Tubes,"Maharashtra, 400004","No. 123, Kika Street, Gulalwadi, Mumbai, Maharashtra, 400004, India",27AAAFR1105P1Z8
Silver S40 80l Aluminum Extrusion,https://www.tradeindia.com/products/s40-80l-aluminum-extrusion-c8668903.html,Saiprasad Enterprises,"Maharashtra, 411041","Shop No 3, S No 29/2, Near Kakade Laser, Shree Control Chowk, Narhe Rd, Pune, Maharashtra, 411041, India",27AOCPK0446A1ZK
"Aluminum Extrusions - Custom Profiles For Architectural And Industrial Applications | Sleek Silver Design, Unmatched Strength And Versatility",https://www.tradeindia.com/products/inconel-800-pipes-4182147.html,Renaissance Fittings & Piping Inc.,"Maharashtra, 400004","Ground Floor, 67, Kika St, Ajmer, Gulal Wadi, Bhuleshwar, Mumbai, Maharashtra, 400004, India",27DADPS1627D1ZU
"Rectangular Aluminum Extrusion - Custom Size, Rose Gold, 5mm Thickness | High-grade, Anodized Finish, Corrosion Resistant, Industrial & Commercial Use",https://www.tradeindia.com/products/rectangular-aluminum-extrusion-c9075163.html,Radhe Krishna Industries,"Gujarat, 360002","K.P Industrial Zone, Street No.2, B/h. Murlidhar Weigh Bridge, Kothariya Ring Road, Rajkot, Gujarat, 360002, India",24AHUPT5745Q2Z4
Silver 90x90 Mm Aluminium Profile,https://www.tradeindia.com/products/90x90-mm-aluminium-profile-c4152383.html,Ibk Engineers Pvt. Ltd.,"Ball Screws, LM block","We are Rexroth Bosch and Festo pneumatics for High-quality application in India. Rexroth Bosch Pneumatics and Electrical cylinders Rexroth Hydraulic Festo Pneumatics TI Diamond Chains Conveyor Rollers Hiwin Linear Guideways Hiwin Ball Screw Motovario Gear Box Small Scara Robots Bosch Power tools, Cutting tools Bosch Air pneumatic screwdriver, Air drill, impact drill etc Rexroth VFD Rexroth Bosch LM Rail, Ball Screws, LM block, Ball Nut etc THK LM guideways SMC Pneumatics McMaster Carr Carr Lane us sourcing THK ball screw Destaco Clamps We supply all types of products with competitive prices in small and bulk requirement. Please send us your enquiry and feel free to contact us.",29AADCI6406J1ZE
"Aluminium Extrusion Sections - Alloy, Rectangular Shape, Silver Color | Strong Build, Highly Resistant To Corrosion And Abrasion, Dimensional Accuracy",https://www.tradeindia.com/products/aluminium-extrusion-sections-c4524044.html,Kedar Udyog,"Delhi, 110006","1/5432, Basti Harphool Singh, Sadar Thana Road, Delhi, Delhi, 110006, India",07AAEHR0645A1ZM
"Aluminum Extrusion Dies - Tool Steel, High Precision, Customizable Dimensions | Cost Effective, Durable Design, Easy Maintenance, Long Lifespan",https://www.tradeindia.com/products/aluminum-extrusion-dies-4121102.html,Parekh Wire Cut,"Gujarat, 394210","27-B, Functional Estate, Road No-6, Udhyognagar, Udhna, Surat, Gujarat, 394210, India",24AANFP5620J1Z3
"Aluminum U Shape Channel Extrusion - 6061 Alloy, Customized Size Millimeter (Mm) | 70-90 Series Railing, 290 Mpa Strength, 1 Year Warranty",https://www.tradeindia.com/products/aluminum-u-shape-channel-extrusion-7124273.html,Foshan Onew Metal Corporation,N/A,N/A,N/A
"Aluminum Extrusion Housing Heatsink - Customized Size, Silver Or Black Finish | Effective Led Heat Dissipation Solution",https://www.tradeindia.com/products/aluminum-extrusion-housing-heatsink-led-heat-sink-c7805177.html,Hanway Metal Products Co. Ltd,N/A,N/A,N/A
"Hindalco Aluminum Extrusions - Custom-sized Industrial Components | High-quality Aluminum, Galvanized For Corrosion Resistance, Warranty Included",https://www.tradeindia.com/products/hindalco-aluminum-extrusions-c9238004.html,Maheshwari Co.,"Delhi, 110055","Thomson House, 45, First Floor, Rani Jhansi Marg, New Delhi, Delhi, 110055, India",07AAZFM5154C1Z0
80x80 Mm Aluminum Extrusion - Color: Silver,https://www.tradeindia.com/products/80x80-mm-aluminum-extrusion-c10195202.html,Crystal Technology,"Maharashtra, 411041","Ground Floor, S.No.8/3, Pari Company Road, Pune, Maharashtra, 411041, India",27GHQPK8270P1Z6
Aluminum Extrusion For Boat - Color: White,https://www.tradeindia.com/products/aluminum-extrusion-for-boat-c10241149.html,"Shandong Davogen Aluminum Products Co., Ltd.",N/A,N/A,N/A
Aluminum Extrusion Die Nitriding Furnace,https://www.tradeindia.com/products/aluminum-extrusion-die-nitriding-furnace-c5757112.html,Yogi Exim,"Gujarat, 395002","737, Golden Point, Ring Road, Surat, Gujarat, 395002, India",24AABFY0245Q1ZX
Aluminum Extrusion Billet,https://www.tradeindia.com/products/aluminum-extrusion-billet-c10283548.html,Jayshree Metal And Alloy,"Maharashtra, 400004","B No. 31, Floor 2, Surya Jain Building Prem Kumar Sharma Road, 3rd Panjrapole, Opp. Surya Jain Mandir, Mumbai, Maharashtra, 400004, India",27DOJPP7901F1ZP
Industrial Aluminum Extrusion Rod - Color: Silver,https://www.tradeindia.com/products/industrial-aluminum-extrusion-rod-c9895583.html,Nirvaan Overseas,"Pune, Faridabad & Chennai for distinctive and express logistics across India. Nirvaan Overseas envisions the expansion of logistics to every corner of India and abroad to be the expert enterprise in this industry. We thrive to serve the best to our clientele","Our hands-on experience enables us to cater to clients’ requirements at ease with best-in-class services. Our warehouses are spread across Mumbai, Pune, Faridabad & Chennai for distinctive and express logistics across India. Nirvaan Overseas envisions the expansion of logistics to every corner of India and abroad to be the expert enterprise in this industry. We thrive to serve the best to our clientele, with our dedicated team of professionals and passionate young entrepreneurs.",27AVSPJ0050E1ZR
"Aluminum Extrusion Scrap - Multiple Grades Available, Rigid Hardness & High Strength, Polished Finish, 1 Year Warranty",https://www.tradeindia.com/products/aluminum-extrusion-scrap-c9672996.html,Ms Luxury Hair Distribution Llc,N/A,N/A,N/A
Aluminium Window Extrusion - Color: Silver,https://www.tradeindia.com/products/aluminium-window-extrusion-c6612121.html,Fire Stone Metal Private Limited,"Punjab, 141115","Garhi, Tarkhana, Machiwara, Ludhiana, Punjab, 141115, India",03AADCF4278M1ZF
Aluminum Profile Extrusion Section Application: For Industrial Use,https://www.tradeindia.com/products/aluminum-profile-extrusion-section-c5981310.html,Vasa Aluminium Co.,"Maharashtra, 400068","Shop No 3, Pankaj Parag Building, LT Road, Dahisar West, Mumbai, Maharashtra, 400068, India",27AFZPP9962N1ZX
Aluminum Profile Led Linear Light Ip65 Pc Diffuser Aluminum Extrusion Profile - Color: White,https://www.tradeindia.com/products/lamp-housing-c7615665.html,Shenzhen Forlinkon Technology Co. Ltd.,N/A,N/A,N/A
"Aluminum Extrusion Billet - Custom Sizes, Corrosion-resistant Aluminum Grades 6101/6063, Uncoated/polished Finish, T5/t6 Temper, High Strength-to-weight Ratio",https://www.tradeindia.com/products/aluminum-extrusion-billet-c9201284.html,Metal Vision,"Maharashtra, 400004","512, 5 TH FLOOR, PAREKH MARKET, NEAR OPERA HOUSE, CHARNI ROAD STATION, Mumbai, Maharashtra, 400004, India",27AALHA0224K1ZI
Aluminum Extrusion 6063 Scrap Car Polishers Size: 5 Liter,https://www.tradeindia.com/products/aluminum-extrusion-6063-scrap-4389820.html,"Abbay Trading Group, Co Ltd",N/A,N/A,N/A
Aluminum Profile Section Grade: First Class,https://www.tradeindia.com/products/aluminum-profile-section-c4306239.html,Jai Bharat Extrusion,"Haryana, 131001","154-155, HSIIDC, BARHI, Sonipat, Haryana, 131001, India",06APUPK7930C2ZO
Industrial Ubc Aluminum Extrusion Scrap,https://www.tradeindia.com/products/industrial-ubc-aluminum-extrusion-scrap-9007080.html,"Super Fortune International Co., Ltd",N/A,N/A,N/A
"29mm Track Cap Aluminum Extrusion - High-quality Aluminum, Various Sizes Available | Durable Bending Process, Industrial Usage, Warranty Included",https://www.tradeindia.com/products/29mm-track-cap-aluminum-extrusion-c9382393.html,Hari Aluminium,"Gujarat, 380024","PLOT NO 5/1 & 5/2, SURVEY NO - 23/K/20PP, BHOOMI INDUSTRIAL ESTATE, BEHIND SATI MATA HOTEL, NANA CHILODA, Ahmedabad, Gujarat, 380024, India",24AAGFH8400F1ZR
Aluminum Extrusion Profile - Grade: Multiple Grades Available,https://www.tradeindia.com/products/aluminum-extrusion-profile-c10429407.html,Pitrukrupa Engineering,"Gujarat, 382330","7, Siddhesweri Estate, Opp Sadvichar Eye Hospital, Near BSNL Telephone Exchange, GIDC Naroda, Ahmedabad, Gujarat, 382330, India",24AHNPC7685H1Z1
Aluminum Extrusion Section - Application: Exterior,https://www.tradeindia.com/products/aluminum-extrusion-section-c5340292.html,Arya Aluminium,"are some of the products which customers can avail from our stores. Our premises is situated in Ghaziabad (Uttar Pradesh, India) and from here we deliver premium quality to the doors of our customers. We are a trustworthy company that is moving toward completing second decade of functioning without every receiving a complaint. With great pride we show our track record to clients","Marveling at wholesaling and supplying alumimium products, we are, Arya Aluminium, a 2002 established firm renowned for its excellency in this domain. Aluminium Partition, Aluminum Glass Door, and Aluminum Ladders, are some of the products which customers can avail from our stores. Our premises is situated in Ghaziabad (Uttar Pradesh, India) and from here we deliver premium quality to the doors of our customers. We are a trustworthy company that is moving toward completing second decade of functioning without every receiving a complaint. With great pride we show our track record to clients, so that we succeed at earning customer's trust.",09AQNPA4313K1ZU
